Domain,Word,Definition,TLD
huinalima.net,huinalima,pentagon. ,ma
iukaio.net,iukaio,Jew; Jewish. ,io
hualani.net,hualani,a variety of sweet potato. ,ni
humuwili.net,humuwili,overcasting stitch; to hem. ,li
huini.net,huini,"needle-pointed, sharp-pointed. ",ni
ikipuahola.net,ikipuahola,"a pestilence said to have come in the reign of Waia, believed the same as the ʻōkuʻu disease of 1804. ",la
iholena.net,iholena,"a favorite and common native variety of banana, eaten raw or cooked. The fruit bunches are small, the skin thin, ripening yellow, the flesh salmonpink. (HP 115). This was one of the few bananas permitted women. Also hilahila. lit., yellow core. ",na
huinakolu.net,huinakolu,triangle. ,lu
iliau.net,iliau,"an endemic woody plant (Wilkesia gymnoxiphium), related to the ʻāhinahina or silversword, found only in western mountains of Kauaʻi. It is 1 to 4 m high, unbranched, the stems ending in clumps of long narrow leaves. ",au
kahiau.net,kahiau,to give generously or lavishly with the heart and not with expectation of return. ,au
holoholona.net,holoholona,"a trip, excursion, ride. ",na
huelopoki.net,huelopoki,whaleboat. ,ki
huhuhula.net,huhuhula,"Hawaiian hula by many persons; to hula, of many. ",la
huinawai.net,huinawai,"pool, meeting place of two or more streams. ",ai
humupapa.net,humupapa,"to sew to a backing, as feather leis. ",pa
hunekali.net,hunekali,"Hungarian, Hungary. ",li
hololani.net,hololani,mission. ,ni
huhume.net,huhume, ,me
ihuihu.net,ihuihu,"rising upward, as the prow of a canoe. fig., scornful. ",hu
ipuolono.net,ipuolono,a variety of taro used as offering to the gods; it may be qualified by the terms kea and ʻulaʻula. ,no
honihoni.net,honihoni,"to kiss or smell repeatedly, sniff. ",ni
holokake.net,holokake,"not secure, loose, not tight. ",ke
holokia.net,holokia,"to dart, as a bird. ",kia
huhuhuli.net,huhuhuli,"to turn, seek frequently. ",li
hualau.net,hualau,"a variety of banana. lit., many fruits. ",au
hulupala.net,hulupala,"light brown, bay, as a horse. ",la
humuniki.net,humuniki,"pattern in pāwehe plaiting, said to consist of a continuous row of red lozenges with their lateral angles touching. ",ki
kahaone.net,kahaone,sandy beach. ,one
huinaono.net,huinaono,hexagon. ,no
humehume.net,humehume, ,me
holokahiki.net,holokahiki,sailor; to sail to foreign lands. ,ki
huahekili.net,huahekili,"hail. lit., thunder fruit. ",li
hulona.net,hulona,Huron. ,na
hulikua.net,hulikua,"ornamental comb decorated with feathers, with ornaments turned towards the back. ",ua
huleilua.net,huleilua,"intensifier of hulei; to toss and pitch, trot, swing. ",ua
ihona.net,ihona,"descent, incline. ",na
